UM146_12805,UM146_16100,UM146_19240
UM146_18880,UM146_07900,UM146_01915
UM146_18880,UM146_01915,UM146_19825
UM146_18865,UM146_08250,UM146_07905
UM146_18865,UM146_08250,UM146_07900
UM146_18865,UM146_08250,UM146_19825
UM146_18865,UM146_07905,UM146_01915
UM146_18865,UM146_07900,UM146_01915
UM146_18865,UM146_01915,UM146_19825
UM146_18870,UM146_08250,UM146_07905
UM146_18870,UM146_08250,UM146_07900
UM146_18870,UM146_08250,UM146_19825
UM146_18870,UM146_07905,UM146_01915
UM146_18870,UM146_07900,UM146_01915
UM146_18870,UM146_01915,UM146_19825
UM146_18850,UM146_08250,UM146_07905
UM146_18850,UM146_08250,UM146_07900
UM146_18850,UM146_08250,UM146_19825
UM146_18850,UM146_07905,UM146_01915
UM146_18850,UM146_07900,UM146_01915
UM146_18850,UM146_01915,UM146_19825
UM146_18860,UM146_08250,UM146_07905
UM146_18860,UM146_08250,UM146_07900
UM146_18860,UM146_08250,UM146_19825
UM146_18860,UM146_07905,UM146_01915
UM146_18860,UM146_07900,UM146_01915
UM146_18860,UM146_01915,UM146_19825
UM146_18875,UM146_08250,UM146_07905
UM146_18875,UM146_08250,UM146_07900
UM146_18875,UM146_08250,UM146_19825
UM146_18875,UM146_07905,UM146_01915
UM146_18875,UM146_07900,UM146_01915
UM146_18875,UM146_01915,UM146_19825
UM146_18855,UM146_08250,UM146_07905
UM146_18855,UM146_08250,UM146_07900
UM146_18855,UM146_08250,UM146_19825
UM146_18855,UM146_07905,UM146_01915
UM146_18855,UM146_07900,UM146_01915
UM146_18855,UM146_01915,UM146_19825
UM146_19215,UM146_21475,UM146_17510
UM146_19215,UM146_21475,UM146_17520
UM146_19215,UM146_21475,UM146_17505
UM146_19215,UM146_21475,UM146_17515
UM146_19215,UM146_21475,UM146_17525
UM146_15600,UM146_13000,UM146_02835
UM146_13885,UM146_03705,UM146_08630
UM146_03805,UM146_19040,UM146_17635
UM146_09095,UM146_09100,UM146_20035
UM146_08250,UM146_20135,UM146_08640
UM146_08250,UM146_08640,UM146_14010
UM146_08250,UM146_08640,UM146_14015
UM146_08250,UM146_08640,UM146_14000
UM146_08250,UM146_08640,UM146_14005
UM146_02675,UM146_17070,UM146_08640
UM146_02005,UM146_14710,UM146_01965
UM146_02005,UM146_14710,UM146_22700
UM146_02000,UM146_14710,UM146_01965
UM146_02000,UM146_14710,UM146_22700
UM146_02010,UM146_14710,UM146_01965
UM146_02010,UM146_14710,UM146_22700
UM146_17635,UM146_05630,UM146_21450
UM146_17635,UM146_05635,UM146_21450
UM146_02180,UM146_20135,UM146_20035
UM146_02180,UM146_20035,UM146_14010
UM146_02180,UM146_20035,UM146_14015
UM146_02180,UM146_20035,UM146_14000
UM146_02180,UM146_20035,UM146_14005
UM146_02185,UM146_20135,UM146_20035
UM146_02185,UM146_20035,UM146_14010
UM146_02185,UM146_20035,UM146_14015
UM146_02185,UM146_20035,UM146_14000
UM146_02185,UM146_20035,UM146_14005
UM146_02190,UM146_20135,UM146_20035
UM146_02190,UM146_20035,UM146_14010
UM146_02190,UM146_20035,UM146_14015
UM146_02190,UM146_20035,UM146_14000
UM146_02190,UM146_20035,UM146_14005
UM146_20135,UM146_14710,UM146_20035
UM146_20135,UM146_01965,UM146_20035
UM146_20135,UM146_01915,UM146_08640
UM146_20135,UM146_20035,UM146_22700
UM146_20135,UM146_20035,UM146_14830
UM146_20130,UM146_01520,UM146_20035
UM146_17035,UM146_23555,pbpC
UM146_13835,UM146_04500,UM146_19815
UM146_13830,UM146_04500,UM146_19815
UM146_04500,UM146_19815,UM146_13840
UM146_14710,UM146_00760,UM146_20010
UM146_14710,UM146_00760,UM146_20015
UM146_14710,UM146_13040,UM146_20010
UM146_14710,UM146_13040,UM146_20015
UM146_14710,UM146_20035,UM146_14010
UM146_14710,UM146_20035,UM146_14015
UM146_14710,UM146_20035,UM146_14000
UM146_14710,UM146_20035,UM146_14005
UM146_10380,UM146_01015,UM146_13445
UM146_01965,UM146_20035,UM146_14010
UM146_01965,UM146_20035,UM146_14015
UM146_01965,UM146_20035,UM146_14000
UM146_01965,UM146_20035,UM146_14005
UM146_01915,UM146_08640,UM146_14010
UM146_01915,UM146_08640,UM146_14015
UM146_01915,UM146_08640,UM146_14000
UM146_01915,UM146_08640,UM146_14005
UM146_20035,UM146_22700,UM146_14010
UM146_20035,UM146_22700,UM146_14015
UM146_20035,UM146_22700,UM146_14000
UM146_20035,UM146_22700,UM146_14005
UM146_20035,UM146_14010,UM146_14830
UM146_20035,UM146_14015,UM146_14830
UM146_20035,UM146_14000,UM146_14830
UM146_20035,UM146_14005,UM146_14830
UM146_16955,UM146_22675,UM146_11025
UM146_05630,UM146_03205,UM146_21450
UM146_05630,UM146_03200,UM146_21450
UM146_05635,UM146_03205,UM146_21450
UM146_05635,UM146_03200,UM146_21450
UM146_03205,UM146_21450,UM146_13095
UM146_03200,UM146_21450,UM146_13095
