EX_ac_e,ACKr,ACS
3OAR141,AACPS2,AACPS4
3OAR141,AACPS2,CTECOAI7_copy1
3OAR141,AACPS2,FACOAE161
3OAR141,AACPS4,CTECOAI6_copy1
3OAR141,AACPS4,FACOAE141
3OAR141,CTECOAI6_copy1,CTECOAI7_copy1
3OAR141,CTECOAI6_copy1,FACOAE161
3OAR141,CTECOAI7_copy1,FACOAE141
3OAR141,FACOAE141,FACOAE161
3OAR160,3OAR161,ACACT7r
3OAR160,3OAR161,ECOAH7
3OAR160,3OAR161,HACD7
3OAR160,3OAR181,ACOAD7f
3OAR160,3OAS161,ACACT7r
3OAR160,3OAS161,ECOAH7
3OAR160,3OAS161,HACD7
3OAR160,3OAS181,ACOAD7f
3OAR160,ACACT8r,ACOAD7f
3OAR160,ACOAD7f,ECOAH8
3OAR160,ACOAD7f,FACOAL181t2pp
3OAR161,3OAS160,ACACT7r
3OAR161,3OAS160,ECOAH7
3OAR161,3OAS160,HACD7
3OAR161,ACACT7r,ACOAD7f
3OAR161,ACOAD7f,ECOAH7
3OAR161,ACOAD7f,HACD7
3OAR181,3OAS160,ACOAD7f
3OAR40,AACPS9,ACACT4r
3OAR40,AACPS9,ACOAD4f
3OAR40,AACPS9,ECOAH4
3OAR40,AACPS9,HACD4
3OAR40,ACACT4r,FACOAE80
3OAR40,ACOAD4f,FACOAE80
3OAR40,ECOAH4,FACOAE80
3OAR40,FACOAE80,HACD4
3OAR60,AACPS9,ACACT4r
3OAR60,AACPS9,ACOAD4f
3OAR60,AACPS9,ECOAH4
3OAR60,AACPS9,HACD4
3OAR60,ACACT4r,FACOAE80
3OAR60,ACOAD4f,FACOAE80
3OAR60,ECOAH4,FACOAE80
3OAR60,FACOAE80,HACD4
3OAR80,AACPS9,ACACT4r
3OAR80,AACPS9,ACOAD4f
3OAR80,AACPS9,ECOAH4
3OAR80,AACPS9,HACD4
3OAR80,ACACT4r,FACOAE80
3OAR80,ACOAD4f,FACOAE80
3OAR80,ECOAH4,FACOAE80
3OAR80,FACOAE80,HACD4
3OAS100,3OAS120,ACACT5r
3OAS100,3OAS120,ACOAD5f
3OAS100,3OAS120,ECOAH5
3OAS100,3OAS120,HACD5
3OAS100,AACPS2,AACPS4
3OAS100,AACPS2,CTECOAI7_copy1
3OAS100,AACPS2,FACOAE161
3OAS100,AACPS4,CTECOAI6_copy1
3OAS100,AACPS4,FACOAE141
3OAS100,AACPS7,AACPS8
3OAS100,AACPS7,FACOAE100
3OAS100,AACPS8,ACACT5r
3OAS100,AACPS8,ACOAD5f
3OAS100,AACPS8,ECOAH5
3OAS100,AACPS8,FACOAE120
3OAS100,AACPS8,HACD5
3OAS100,ACACT5r,FACOAE100
3OAS100,ACOAD5f,FACOAE100
3OAS100,CTECOAI6_copy1,CTECOAI7_copy1
3OAS100,CTECOAI6_copy1,FACOAE161
3OAS100,CTECOAI7_copy1,FACOAE141
3OAS100,ECOAH5,FACOAE100
3OAS100,FACOAE100,FACOAE120
3OAS100,FACOAE100,HACD5
3OAS100,FACOAE141,FACOAE161
3OAS120,3OAS121,ACACT1r
3OAS120,3OAS121,ACACT2r
3OAS120,3OAS121,ACACT3r
3OAS120,3OAS121,ACACT4r
3OAS120,3OAS121,ACACT5r
3OAS120,3OAS121,ACOAD1f
3OAS120,3OAS121,ACOAD2f
3OAS120,3OAS121,ACOAD3f
3OAS120,3OAS121,ACOAD4f
3OAS120,3OAS121,ACOAD5f
3OAS120,3OAS121,ECOAH1
3OAS120,3OAS121,ECOAH2
3OAS120,3OAS121,ECOAH3
3OAS120,3OAS121,ECOAH4
3OAS120,3OAS121,ECOAH5
3OAS120,3OAS121,HACD1
3OAS120,3OAS121,HACD2
3OAS120,3OAS121,HACD3
3OAS120,3OAS121,HACD4
3OAS120,3OAS121,HACD5
3OAS120,3OAS141,ACACT1r
3OAS120,3OAS141,ACACT2r
3OAS120,3OAS141,ACACT3r
3OAS120,3OAS141,ACACT4r
3OAS120,3OAS141,ACACT5r
3OAS120,3OAS141,ACOAD1f
3OAS120,3OAS141,ACOAD2f
3OAS120,3OAS141,ACOAD3f
3OAS120,3OAS141,ACOAD4f
3OAS120,3OAS141,ACOAD5f
3OAS120,3OAS141,ECOAH1
3OAS120,3OAS141,ECOAH2
3OAS120,3OAS141,ECOAH3
3OAS120,3OAS141,ECOAH4
3OAS120,3OAS141,ECOAH5
3OAS120,3OAS141,HACD1
3OAS120,3OAS141,HACD2
3OAS120,3OAS141,HACD3
3OAS120,3OAS141,HACD4
3OAS120,3OAS141,HACD5
3OAS120,ACACT1r,ACACT6r
3OAS120,ACACT1r,ECOAH6
3OAS120,ACACT1r,T2DECAI
3OAS120,ACACT2r,ACACT6r
3OAS120,ACACT2r,ECOAH6
3OAS120,ACACT2r,T2DECAI
3OAS120,ACACT3r,ACACT6r
3OAS120,ACACT3r,ECOAH6
3OAS120,ACACT3r,T2DECAI
3OAS120,ACACT4r,ACACT6r
3OAS120,ACACT4r,ECOAH6
3OAS120,ACACT4r,T2DECAI
3OAS120,ACACT5r,ACACT6r
3OAS120,ACACT5r,ECOAH6
3OAS120,ACACT5r,T2DECAI
3OAS120,ACACT6r,ACOAD1f
3OAS120,ACACT6r,ACOAD2f
3OAS120,ACACT6r,ACOAD3f
3OAS120,ACACT6r,ACOAD4f
3OAS120,ACACT6r,ACOAD5f
3OAS120,ACACT6r,ECOAH1
3OAS120,ACACT6r,ECOAH2
3OAS120,ACACT6r,ECOAH3
3OAS120,ACACT6r,ECOAH4
3OAS120,ACACT6r,ECOAH5
3OAS120,ACACT6r,HACD1
3OAS120,ACACT6r,HACD2
3OAS120,ACACT6r,HACD3
3OAS120,ACACT6r,HACD4
3OAS120,ACACT6r,HACD5
3OAS120,ACOAD1f,ECOAH6
3OAS120,ACOAD1f,T2DECAI
3OAS120,ACOAD2f,ECOAH6
3OAS120,ACOAD2f,T2DECAI
3OAS120,ACOAD3f,ECOAH6
3OAS120,ACOAD3f,T2DECAI
3OAS120,ACOAD4f,ECOAH6
3OAS120,ACOAD4f,T2DECAI
3OAS120,ACOAD5f,ECOAH6
3OAS120,ACOAD5f,T2DECAI
3OAS120,ECOAH1,ECOAH6
3OAS120,ECOAH1,T2DECAI
3OAS120,ECOAH2,ECOAH6
3OAS120,ECOAH2,T2DECAI
3OAS120,ECOAH3,ECOAH6
3OAS120,ECOAH3,T2DECAI
3OAS120,ECOAH4,ECOAH6
3OAS120,ECOAH4,T2DECAI
3OAS120,ECOAH5,ECOAH6
3OAS120,ECOAH5,T2DECAI
3OAS120,ECOAH6,HACD1
3OAS120,ECOAH6,HACD2
3OAS120,ECOAH6,HACD3
3OAS120,ECOAH6,HACD4
3OAS120,ECOAH6,HACD5
3OAS120,HACD1,T2DECAI
3OAS120,HACD2,T2DECAI
3OAS120,HACD3,T2DECAI
3OAS120,HACD4,T2DECAI
3OAS120,HACD5,T2DECAI
3OAS121,AACPS2,AACPS4
3OAS121,AACPS2,CTECOAI7_copy1
3OAS121,AACPS2,FACOAE161
3OAS121,AACPS4,CTECOAI6_copy1
3OAS121,AACPS4,FACOAE141
3OAS121,CTECOAI6_copy1,CTECOAI7_copy1
3OAS121,CTECOAI6_copy1,FACOAE161
3OAS121,CTECOAI7_copy1,FACOAE141
3OAS121,FACOAE141,FACOAE161
3OAS141,AACPS2,AACPS4
3OAS141,AACPS2,CTECOAI7_copy1
3OAS141,AACPS2,FACOAE161
3OAS141,AACPS4,CTECOAI6_copy1
3OAS141,AACPS4,FACOAE141
3OAS141,CTECOAI6_copy1,CTECOAI7_copy1
3OAS141,CTECOAI6_copy1,FACOAE161
3OAS141,CTECOAI7_copy1,FACOAE141
3OAS141,FACOAE141,FACOAE161
3OAS160,3OAS161,ACACT7r
3OAS160,3OAS161,ECOAH7
3OAS160,3OAS161,HACD7
3OAS160,3OAS181,ACOAD7f
3OAS160,ACACT8r,ACOAD7f
3OAS160,ACOAD7f,ECOAH8
3OAS160,ACOAD7f,FACOAL181t2pp
3OAS161,ACACT7r,ACOAD7f
3OAS161,ACOAD7f,ECOAH7
3OAS161,ACOAD7f,HACD7
3OAS60,AACPS9,ACACT4r
3OAS60,AACPS9,ACOAD4f
3OAS60,AACPS9,ECOAH4
3OAS60,AACPS9,HACD4
3OAS60,ACACT4r,FACOAE80
3OAS60,ACOAD4f,FACOAE80
3OAS60,ECOAH4,FACOAE80
3OAS60,FACOAE80,HACD4
3OAS80,AACPS9,ACACT4r
3OAS80,AACPS9,ACOAD4f
3OAS80,AACPS9,ECOAH4
3OAS80,AACPS9,HACD4
3OAS80,ACACT4r,FACOAE80
3OAS80,ACOAD4f,FACOAE80
3OAS80,ECOAH4,FACOAE80
3OAS80,FACOAE80,HACD4
AACPS2,AACPS4,T2DECAI
AACPS2,CTECOAI7_copy1,T2DECAI
AACPS2,FACOAE161,T2DECAI
AACPS3,EAR160x,EAR160y
AACPS4,CTECOAI6_copy1,T2DECAI
AACPS4,EAR161x,EAR161y
AACPS4,FACOAE141,T2DECAI
AACPS7,EAR120x,EAR120y
ACACT1r,EAR40x,EAR40y
ACACT1r,EAR60x,EAR60y
ACACT1r,EAR80x,EAR80y
ACACT1r,KAS14,KAS15
ACACT2r,EAR40x,EAR40y
ACACT2r,EAR60x,EAR60y
ACACT2r,EAR80x,EAR80y
ACACT2r,KAS14,KAS15
ACACT3r,EAR40x,EAR40y
ACACT3r,EAR60x,EAR60y
ACACT3r,EAR80x,EAR80y
ACACT3r,KAS14,KAS15
ACCOAL,AKGDH,SUCOAS
ACKr,ACS,ACt2rpp
ACKr,ACS,ACtex
ACOAD1f,EAR40x,EAR40y
ACOAD1f,EAR60x,EAR60y
ACOAD1f,EAR80x,EAR80y
ACOAD1f,KAS14,KAS15
ACOAD2f,EAR40x,EAR40y
ACOAD2f,EAR60x,EAR60y
ACOAD2f,EAR80x,EAR80y
ACOAD2f,KAS14,KAS15
ACOAD3f,EAR40x,EAR40y
ACOAD3f,EAR60x,EAR60y
ACOAD3f,EAR80x,EAR80y
ACOAD3f,KAS14,KAS15
ACS,ACt2rpp,PTAr
ACS,ACtex,PTAr
ADK1,ADK3,PPM
ADK1,ADK3,PRPPS
ADK1,ADK3,R15BPK
ADK1,ADK3,R1PK
ADK1,NDPK1,PPM
ADK1,NDPK1,PRPPS
ADK1,NDPK1,R15BPK
ADK1,NDPK1,R1PK
AKGDH,PPCSCT,SUCOAS
ATPS4rpp,EDA,GAPD
ATPS4rpp,EDA,PGK
ATPS4rpp,EDD,GAPD
ATPS4rpp,EDD,PGK
ATPS4rpp,GAPD,TPI
ATPS4rpp,PGK,TPI
CTECOAI6_copy1,CTECOAI7_copy1,T2DECAI
CTECOAI6_copy1,FACOAE161,T2DECAI
CTECOAI7_copy1,EAR161x,EAR161y
CTECOAI7_copy1,FACOAE141,T2DECAI
CYTBDpp,CYTBO3_4pp,PPC
CYTD,CYTDtex,CYTK1
CYTD,CYTK1,RPI
CYTD,CYTK1,CYTDt2pp_copy2
CYTD,NDPK3,RPI
DHBS,FE3abcpp,FESD1s
DHBS,FE3abcpp,FESR
DHBS,FE3abcpp,O2tex
DHBS,FE3abcpp,O2tpp
DHBS,FE3tex,O2tex
DHBSH,FE3abcpp,FESD1s
DHBSH,FE3abcpp,FESR
DHBSH,FE3abcpp,O2tex
DHBSH,FE3abcpp,O2tpp
DHBSH,FE3tex,O2tex
DHORD2,DHORD5,DHORDfum
DHORD5,DHORDfum,O2tex
DHORD5,DHORDfum,O2tpp
DHORDfum,FRD2,O2tex
DHORDfum,FRD2,O2tpp
DRPA,NDPK3,NTD4
DURIK1,DUTPDP,URIDK2r
EAR120x,EAR120y,FACOAE120
EAR160x,EAR160y,FACOAE160
EAR161x,EAR161y,FACOAE161
EAR40x,EAR40y,ECOAH1
EAR40x,EAR40y,ECOAH2
EAR40x,EAR40y,ECOAH3
EAR40x,EAR40y,HACD1
EAR40x,EAR40y,HACD2
EAR40x,EAR40y,HACD3
EAR60x,EAR60y,ECOAH1
EAR60x,EAR60y,ECOAH2
EAR60x,EAR60y,ECOAH3
EAR60x,EAR60y,HACD1
EAR60x,EAR60y,HACD2
EAR60x,EAR60y,HACD3
EAR80x,EAR80y,ECOAH1
EAR80x,EAR80y,ECOAH2
EAR80x,EAR80y,ECOAH3
EAR80x,EAR80y,HACD1
EAR80x,EAR80y,HACD2
EAR80x,EAR80y,HACD3
ECOAH1,KAS14,KAS15
ECOAH2,KAS14,KAS15
ECOAH3,KAS14,KAS15
ENO,FUM,PPS
ENO,ICL,PPS
ENO,MALS,PPS
ENO,PPCK,PPS
ENO,PPS,SUCDi
ENTCS,FE3abcpp,FESD1s
ENTCS,FE3abcpp,FESR
ENTCS,FE3abcpp,O2tex
ENTCS,FE3abcpp,O2tpp
ENTCS,FE3tex,O2tex
ENTERES2,FE3abcpp,FESD1s
ENTERES2,FE3abcpp,FESR
ENTERES2,FE3abcpp,O2tex
ENTERES2,FE3abcpp,O2tpp
ENTERES2,FE3tex,O2tex
FACOAE141,FACOAE161,T2DECAI
FBA,FBA3,TPI
FBA,PFK_3,TPI
FBA3,PFK,TPI
FBA3,RPE,TALA
FBA3,TALA,TKT2
FE3abcpp,FEENTERabcpp,FESD1s
FE3abcpp,FEENTERabcpp,FESR
FE3abcpp,FEENTERabcpp,O2tex
FE3abcpp,FEENTERabcpp,O2tpp
FE3abcpp,FEENTERexs,FESD1s
FE3abcpp,FEENTERexs,FESR
FE3abcpp,FEENTERexs,O2tex
FE3abcpp,FEENTERexs,O2tpp
FE3abcpp,FEENTERtex,FESD1s
FE3abcpp,FEENTERtex,FESR
FE3abcpp,FEENTERtex,O2tex
FE3abcpp,FEENTERtex,O2tpp
FE3abcpp,FEENTERtonex,FESD1s
FE3abcpp,FEENTERtonex,FESR
FE3abcpp,FEENTERtonex,O2tex
FE3abcpp,FEENTERtonex,O2tpp
FE3abcpp,FEENTERtpp,FESD1s
FE3abcpp,FEENTERtpp,FESR
FE3abcpp,FEENTERtpp,O2tex
FE3abcpp,FEENTERtpp,O2tpp
FE3abcpp,FESD1s,SERASr
FE3abcpp,FESR,SERASr
FE3abcpp,O2tex,SERASr
FE3abcpp,O2tpp,SERASr
FE3tex,FEENTERabcpp,O2tex
FE3tex,FEENTERexs,O2tex
FE3tex,FEENTERtex,O2tex
FE3tex,FEENTERtonex,O2tex
FE3tex,FEENTERtpp,O2tex
FE3tex,O2tex,SERASr
FLDR2,NDPK5,POR5
FLDR2,NDPK7,POR5
FLDR2,NDPK8,POR5
FLDR2,POR5,MECDPDH2
FORtppi,FTHFLi,GART
FTHFLi,GARFT,MTHFC
FTHFLi,GARFT,MTHFD
FTHFLi,GART,MTHFC
FTHFLi,GART,MTHFD
FUM,GAPD,PPS
FUM,MMCD,SUCCtex
FUM,MMM,SUCCtex
FUM,PGK,PPS
FUM,PGM,PPS
FUM,PPALtex,SUCCtex
FUM,PPALtpp,SUCCtex
FUM,SUCCtex,MMSAD2
G6PDH2r,GLCDpp,RPE
G6PDH2r,GLCDpp,TKT2
G6PDH2r,GLCNt2rpp,RPE
G6PDH2r,GLCNt2rpp,TKT2
G6PDH2r,GNK,RPE
G6PDH2r,GNK,TKT2
G6PDH2r,O2tex,RPE
G6PDH2r,O2tex,TKT2
G6PDH2r,O2tpp,RPE
G6PDH2r,O2tpp,TKT2
GAPD,ICL,PPS
GAPD,PPS,SUCDi
GAPD,TKT2,TPI
GHMT2r,GLYCL,MTHFC
GHMT2r,GLYCL,MTHFD
GHMT2r,THRA,THRD
GLCDpp,PGL,RPE
GLCDpp,PGL,TKT2
GLCNt2rpp,PGL,RPE
GLCNt2rpp,PGL,TKT2
GLYCL,MTHFC,PGCD
GLYCL,MTHFC,PSERT
GLYCL,MTHFC,PSP_L
GLYCL,MTHFD,PGCD
GLYCL,MTHFD,PSERT
GLYCL,MTHFD,PSP_L
GNK,PGL,RPE
GNK,PGL,TKT2
GRXR,RNDR1,RNTR1c2
GRXR,RNDR2,RNTR2c2
GRXR,RNDR3,RNTR3c2
GTHOr,RNDR1,RNTR1c2
GTHOr,RNDR2,RNTR2c2
GTHOr,RNDR3,RNTR3c2
HACD1,KAS14,KAS15
HACD2,KAS14,KAS15
HACD3,KAS14,KAS15
I2FE2SS2,I2FE2ST,S2FE2SR
I2FE2ST,I4FE4SR,S2FE2SR
I2FE2ST,I4FE4ST,S2FE2SR
ICL,PGK,PPS
ICL,PGM,PPS
MG2t3_2pp,MG2tpp,MG2uabcpp
MMCD,O2tex,SUCCtex
MMCD,O2tpp,SUCCtex
MMM,O2tex,SUCCtex
MMM,O2tpp,SUCCtex
MN2tpp,MNt2pp,MNabc_1
MOX,O2tex,PDX5PO2
MOX,O2tpp,PDX5PO2
MTHFC,OBTFL,PFL
MTHFC,PFL,PPALtex
MTHFC,PFL,PPALtpp
MTHFC,PFL,MMSAD2
MTHFD,OBTFL,PFL
MTHFD,PFL,PPALtex
MTHFD,PFL,PPALtpp
MTHFD,PFL,MMSAD2
NDPK3,NTD4,PPM2
NDPK3,NTD4,RPI
O2tex,PGL,RPE
O2tex,PGL,TKT2
O2tex,PPALtex,SUCCtex
O2tex,PPALtpp,SUCCtex
O2tex,SUCCtex,MMSAD2
O2tpp,PGL,RPE
O2tpp,PGL,TKT2
O2tpp,PPALtex,SUCCtex
O2tpp,PPALtpp,SUCCtex
O2tpp,SUCCtex,MMSAD2
PFK,PFK_3,TPI
PFK_3,RPE,TALA
PFK_3,TALA,TKT2
PGCD,THRA,THRD
PGK,PPS,SUCDi
PGK,TKT2,TPI
PGM,PPS,SUCDi
PSERT,THRA,THRD
PSP_L,THRA,THRD
RNDR1,RNDR1b,RNTR1c2
RNDR1b,RNTR1c2,TRDR
RNDR2,RNDR2b,RNTR2c2
RNDR2b,RNTR2c2,TRDR
RNDR3,RNDR3b,RNTR3c2
RNDR3b,RNTR3c2,TRDR
